General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
196,195068,ثانوية التربية النموذجية الأهلية (النزهه) - مقررات,الرياض,Riyadh,Domestic,مقررات,75.45
205,96628,ثانوية الرياض الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,75.37
208,35342,ثانوية الأمجادالأولية,جدة,Makkah,Domestic,تعليم عام بنات,75.35
210,96656,ثانوية البيان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,75.27
213,35064,ثانوية البيت السعيد بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,75.23
215,559110,ثانوية جواثا الأهلية مقررات,الأحساء,AlSharquia,Domestic,مقررات,75.21
221,35055,ثانوية حديقة الأطفال بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,75.08
225,28357,ثانوية البتول الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,74.96
227,96654,ثانوية رياض الصالحين الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.95
230,35059,ثانوية بيتي الصغير بجدة نظام مقررات,جدة,Makkah,Domestic,مقررات,74.89
233,35058,ثانوية البراعم,جدة,Makkah,Domestic,تعليم عام بنات,74.86
243,96981,ثانوية الإمام الشافعي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.75
246,97423,ثانوية الأرقم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.72
268,96627,ثانوية الدوحة السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.44
272,35181,ثانوية رياض الأطفال,جدة,Makkah,Domestic,تعليم عام بنات,74.35
274,48916,ثانوية المنارات الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,74.31
275,35214,ثانوية التقوى الشاملة,جدة,Makkah,Domestic,تعليم عام بنات,74.27
283,28234,ثانوية الأندلس الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,74.22
292,96684,ثانوية دار المعارف الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,74.13
295,42251,مدارس الريان النموذجية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,74.09
301,97354,ثانوية رواد الحضارة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,73.99
