General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
39,29739,الأندلس الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,78.51
41,11392,ثانوية ابن خلدون الأهلية - النفل,الرياض,Riyadh,Domestic,مقررات,78.23
42,11776,ثانوية ابن خلدون الأهلية - عرقة,الرياض,Riyadh,Domestic,مقررات,78.22
47,110043,ثانوية الفرسان الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,77.56
48,53852,ثانوية المنارات الاهلية بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنين,77.52
49,153557,ثانوية المنارات الأهلية بالخبر ـ مقررات,الخبر,AlSharquia,Domestic,مقررات,77.39
50,11178,ثانوية الفيصلية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,77.17
53,53856,ثانوية التهذيب الأهلية,سيهات,AlSharquia,Domestic,تعليم عام بنين,77.02
60,61541,ثانوية الرواد,خميس مشيط,Asser,Domestic,تعليم عام بنين,76.63
63,26742,ثانوية عبدالرحمن فقيه,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,76.49
68,12343,ثانوية التعلم النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,76.18
71,32832,جيل الفيصل الثانوية (فرع السبعين) الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,75.71
72,110044,ثانوية التربية النموذجية الأهلية - النزهة,الرياض,Riyadh,Domestic,مقررات,75.66
73,57514,ثانوية الأنجال الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,75.57
81,10030,ثانوية رياض نجد الأهلية,الرياض,Riyadh,Domestic,مقررات,75.32
87,11417,ثانوية التربية النموذجية الأهلية ـ الروابي,الرياض,Riyadh,Domestic,مقررات,74.98
90,53843,ثانوية العزيزية الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,74.94
93,11191,ثانوية العناية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,74.83
95,116005,ثانوية الجامعة الأهلية مقررات,الخرج,Riyadh,Domestic,مقررات,74.6
96,405615,مدارس العلوم الشرعية الأهلية - المرحلة الثانوية  (مقررات),المدينة المنورة,Madina,Domestic,مقررات,74.58
99,32842,دار المعرفة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,74.45
103,532882,الاقصى الأهلية (نظام المقررات),جدة,Makkah,Domestic,مقررات,74.37
104,11181,ثانوية الشعلة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,74.32
115,32834,رياض القران الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.92
116,54405,ثانوية السلام الاهلية بالخبر,الخبر,AlSharquia,Domestic,تعليم عام بنين,73.72
119,154232,ثانوية نور الإسلام الأهلية بالدمام ـ مقررات,الدمام,AlSharquia,Domestic,مقررات,73.49
126,32830,الاندلس الثانوية الأهلية,جدة,Makkah,Domestic,مقررات,73.23
128,111909,ثانوية أطياب الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,73.19
131,32835,الامجاد الثانية الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,73.04
133,53969,ثانوية رياض الإسلام الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,72.96
134,33176,دار الرواد الثانوية الاهلية,جدة,Makkah,Domestic,مقررات,72.88
139,110020,ثانوية المتقدمة الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,72.7
140,40776,مدارس دار التربية الإسلامية الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنين,72.7
144,53939,ثانوية القطيف الاهلية,القطيف,AlSharquia,Domestic,تعليم عام بنين,72.53
145,539385,ثانوية السعد الاهلية - مقررات,الخبر,AlSharquia,Domestic,مقررات,72.52
146,33029,الاخاء الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,72.49
149,33066,ثغر جدة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,72.46
151,33195,قرطبة الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,72.39
156,110016,ثانوية دار العلوم الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,72.28
157,32993,التعاون الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,72.24
159,11202,ثانوية رياض الصالحين الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,72.2
160,57517,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,72.16
164,11213,ثانوية الإحسان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,71.98
165,11474,ثانوية العليا الأهلية,الرياض,Riyadh,Domestic,مقررات,71.97
167,54140,ثانوية اجيال الاقصى الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,71.95
168,54163,ثانوية الاعتصام الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,71.94
170,54045,ثانوية التربية الأهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,71.86
184,54159,ثانوية الضاحية الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,71.36
187,11196,ثانوية المنهل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,71.24
197,54224,ثانوية محمد الفاتح الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,70.98
204,133406,الأمجاد الثانويه الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,70.89
205,33212,المنارات الثانوية ( برابغ ) الاهلية,رابغ,Makkah,Domestic,مقررات,70.86
206,110045,ثانوية نيار الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,70.86
207,11212,ثانوية العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,70.84
210,61846,ثانوية صدى الإبداع,خميس مشيط,Asser,Domestic,تعليم عام بنين,70.79
223,11184,ثانوية الرواد الأهلية - الروابي,الرياض,Riyadh,Domestic,تعليم عام بنين,70.47
232,133853,منارة جدة الثانويه الاهلية,جدة,Makkah,Domestic,مقررات,70.22
